"Gene_Name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"TEAD3","ENSG00000007866.22",1591.95701154157,-1.72836869810529,0.0369040684389318,-46.8340963806027,0,0,"Up in Cluster 4"
"NOX1","ENSG00000007952.18",1710.47316822531,-5.67249182404236,0.0791115497360468,-71.7024485421972,0,0,"Up in Cluster 4"
"E2F2","ENSG00000007968.7",522.668370743495,-2.19200075141136,0.0447760907889381,-48.9547147325531,0,0,"Up in Cluster 4"
"SYN1","ENSG00000008056.14",650.382342576183,3.67421463923487,0.0704646539689952,52.1426620621956,0,0,"Up in Cluster 7"
"CAMK1G","ENSG00000008118.10",141.042233137959,3.12004305321394,0.0622224483272811,50.1433668569736,0,0,"Up in Cluster 7"
"NADK","ENSG00000008130.15",3215.46160874302,-0.770310170734931,0.0184708723803929,-41.7040492116998,0,0,"Up in Cluster 4"
"ADAM22","ENSG00000008277.14",1428.9474876775,3.45042804844841,0.0517196900782738,66.7140124626898,0,0,"Up in Cluster 7"
"SPAG9","ENSG00000008294.21",6749.27210785867,1.49398047209432,0.0241062678492787,61.9747727618077,0,0,"Up in Cluster 7"
"PLEKHG6","ENSG00000008323.15",1165.50447459903,-3.16537085183882,0.0652274123950995,-48.528229706022,0,0,"Up in Cluster 4"
"MASP2","ENSG00000009724.17",943.596249604219,-4.05227970735958,0.0889139731895247,-45.575285435979,0,0,"Up in Cluster 4"
"STARD3NL","ENSG00000010270.14",2125.52507372915,0.941629386297165,0.0228335247062274,41.2388975601456,0,0,"Up in Cluster 7"
"HHATL","ENSG00000010282.15",223.590587532979,6.98218507411044,0.11698905711915,59.6823775321079,0,0,"Up in Cluster 7"
"NCAPD2","ENSG00000010292.13",5191.64446877633,-1.40203005187385,0.0269630462962036,-51.9982065999441,0,0,"Up in Cluster 4"
"SLC6A13","ENSG00000010379.16",1754.33952459334,5.72345820715874,0.0970875571773758,58.9515111262112,0,0,"Up in Cluster 7"
"PRSS3","ENSG00000010438.17",1122.49793740393,-4.89890366472253,0.0982901941438344,-49.8412248281212,0,0,"Up in Cluster 4"
"LRRC23","ENSG00000010626.15",739.085590891303,1.48733623110972,0.032887248606536,45.2253166236024,0,0,"Up in Cluster 7"
"FYN","ENSG00000010810.17",4639.44901475509,2.48894358479217,0.042652100899563,58.3545366417734,0,0,"Up in Cluster 7"
"FMO1","ENSG00000010932.17",939.407021776407,3.44596788826626,0.0819610174183784,42.0439862364808,0,0,"Up in Cluster 7"
"CLCN6","ENSG00000011021.23",1447.21460464306,1.47031912757442,0.0263247609438724,55.8530856447024,0,0,"Up in Cluster 7"
"PTBP1","ENSG00000011304.22",14526.9607056548,-0.986620939050262,0.0167746432939364,-58.8162097853313,0,0,"Up in Cluster 4"
"BRCA1","ENSG00000012048.23",1028.26599513968,-1.51039221395545,0.0301678337471514,-50.066313233315,0,0,"Up in Cluster 4"
"PRICKLE3","ENSG00000012211.13",566.136745757886,-1.59334755478976,0.036901205191357,-43.1787402749369,0,0,"Up in Cluster 4"
"CALCOCO1","ENSG00000012822.16",3782.33210696679,1.01802792228876,0.0199547479409232,51.016826937763,0,0,"Up in Cluster 7"
"EHD3","ENSG00000013016.16",1267.8250635699,1.64702820303964,0.0421558068518894,39.0700196731217,0,0,"Up in Cluster 7"
"SLC7A14","ENSG00000013293.6",327.771784549081,5.93705071245734,0.122195400689437,48.5865317267262,0,0,"Up in Cluster 7"
"GPRC5A","ENSG00000013588.9",11039.9089026659,-4.71180269932009,0.0757882821352012,-62.170596384736,0,0,"Up in Cluster 4"
"TACC3","ENSG00000013810.20",2939.30517050059,-2.11367437960421,0.0339379132347039,-62.2806230007927,0,0,"Up in Cluster 4"
"POLA2","ENSG00000014138.9",340.121561752298,-1.36385713739903,0.0326787967570775,-41.7352311817799,0,0,"Up in Cluster 4"
"ACP3","ENSG00000014257.16",285.762240839273,-3.19950321652644,0.0657465114612275,-48.6642278870305,0,0,"Up in Cluster 4"
"CCDC88C","ENSG00000015133.19",1874.30116211054,-1.59902798524009,0.0346983167180585,-46.0837336356404,0,0,"Up in Cluster 4"
"STMN4","ENSG00000015592.16",790.84990790819,7.96569258889868,0.114343889273665,69.6643488296428,0,0,"Up in Cluster 7"
"ISL1","ENSG00000016082.15",49.2877600193191,-5.70494313691276,0.11311348677135,-50.4355696190753,0,0,"Up in Cluster 4"
"IL20RA","ENSG00000016402.13",569.902805005187,-3.08856844837212,0.0768712577480633,-40.1784560166109,0,0,"Up in Cluster 4"
"CLCA1","ENSG00000016490.16",1353.68210455736,-11.6645338503257,0.18682388223118,-62.4359889700384,0,0,"Up in Cluster 4"
"RUFY3","ENSG00000018189.13",3348.32119232815,2.07533401858736,0.0302273760714483,68.657432047092,0,0,"Up in Cluster 7"
"CNTN1","ENSG00000018236.15",3056.96750798464,3.98956474344627,0.100448988740345,39.7173211346018,0,0,"Up in Cluster 7"
"WWTR1","ENSG00000018408.15",4463.13535791273,1.62119460268092,0.0411175602667384,39.4282781411125,0,0,"Up in Cluster 7"
